Recurso,Peca,Qtde,Etapa,LEAD TIME,Código,Célula,flag peça,Etapa2,Etapa3,Etapa4,Etapa5,Etapa6
010108,Plataforma LD - Bomba Andrad Chassi 90cm MFI,1,Montagem,30,010108,PLAT. TANQUE. CAÇAM.,1,,,,COLORIDO,
010110,Plataforma LE - Bomba Andrad Chassi 90cm MFI,1,Montagem,30,010110,PLAT. TANQUE. CAÇAM.,1,,,,,
016147,"EIXO BAL COMPL (CEN-2,00) F6SS",1,Montagem,30,016147,EIXO COMPLETO,1,Pintura,,,CINZA,
016160,"EIXO DIANT SIMPL SS (CEN-2,00) F6SS",1,Montagem,30,016160,EIXO SIMPLES,1,,,,,
016172,"EIXO BAL SIMPL SS (CEN-2,00) F6SS",1,Montagem,30,016172,EIXO SIMPLES,1,,,,,
016196,"EIXO DIANT COMPLETO (CEN-2,00) F6SS",1,Montagem,30,016196,EIXO COMPLETO,1,Pintura,,,CINZA,
016196,"EIXO DIANT SIMPL SS (CEN-2,00) F6SS",1,Montagem,30,016160,EIXO SIMPLES,1,,,,,
017899,"EIXO DIANT COMPL SS (CEN-1,75)",1,Montagem,30,017899,EIXO COMPLETO,1,Pintura,,,CINZA,
017905,"EIXO DIANT SIMPL SS (CEN-1,75) F6SS",1,Montagem,30,017905,EIXO SIMPLES,1,,,,,
017929,"EIXO BAL SIMPL SS (CEN-1,75) F6SS",1,Montagem,30,017929,EIXO SIMPLES,1,,,,,
022482,Tampa Tras M12 CBH,1,Montagem,30,022482,LATERAL,1,Pintura,,,COLORIDO,
023565,Içamento Grande,1,Montagem,30,023565,IÇAMENTO,1,,,,,
023565,IÇAMENTO COMPLETO SS CINZA [CBH/CBHM/FTC-2E],1,,30,023589,IÇAMENTO,1,Pintura,,,CINZA,
024030,CHASSI CBHF,1,Montagem,30,024030,CHASSI,1,Pintura,Solda,,CINZA,
024041,Içamento Simples SS CBHF,1,Montagem,30,024041,IÇAMENTO,1,Pintura,,,CINZA,
024480,Eixo Tandem 4T C/ Trava,1,Montagem,30,024480,EIXO COMPLETO,1,Pintura,,,CINZA,
024480,Tandem 4T C/ Trava,1,Montagem,30,031246,EIXO SIMPLES,1,,,,,
024481,Eixo Tandem 4T S/ Trava,1,Montagem,30,024481,EIXO COMPLETO,1,Pintura,,,CINZA,
024481,Tandem 4T S/ Trava,1,Montagem,30,033209,EIXO SIMPLES,1,,,,,
024777,Eixo Tandem 6T S/ Trava,1,Montagem,30,024777,EIXO COMPLETO,1,Pintura,,,CINZA,
025045,Tampa Traseira 3500 CBHM,1,Montagem,30,025045,LATERAL,1,Pintura,,,COLORIDO,
025046,Tampa Traseira C/ ABA e GANCHO 90cm 4500 CBHM,1,Montagem,30,025046,LATERAL,1,Pintura,,,COLORIDO,
025048,Traseira 5000,1,Montagem,30,025048,LATERAL,1,Pintura,,,COLORIDO,
025070,Engate CBHF C/F,1,Montagem,30,025070,IÇAMENTO,1,,,,,
025091,LÂM MESTRE FEIXE MOLA RETO,1,,30,025091,FORJARIA,1,Pintura,,,CINZA,
025233,Chassi (M13) FA6 SS,1,Montagem,30,025233,CHASSI,1,Pintura,Solda,,CINZA,
025553,Eixos Simples CS 5000 CBHM,1,Montagem,30,025553,EIXO SIMPLES,1,,,,,
466906,FA4FB RD,1,Montagem,30,466906,EIXO COMPLETO,1,Pintura,,,CINZA,
466906,Eixo FA4FB RD ,1,Montagem,30,025565,EIXO SIMPLES,1,,,,,
025608,Eixo Simples SC CBHM 5000/CBH4,1,Montagem,30,025608,EIXO SIMPLES,1,,,,,
025617,5000 SS,1,Montagem,30,025617,EIXO SIMPLES,1,,,,,
025622,EIXO 4500 SS RD,1,Montagem,30,025622,EIXO SIMPLES,1,,,,,
025625,Eixo 4500 SS RS,1,Montagem,30,025625,EIXO SIMPLES,1,,,,,
025643,Eixo Traseiro Simples F4/F6,1,Montagem,30,032781,EIXO SIMPLES,1,,,,,
025647,Eixo Dianteiro Simples F4/F6,1,Montagem,30,032779,EIXO SIMPLES,1,,,,,
025657,7000 SC,1,Montagem,30,025657,EIXO SIMPLES,1,,,,,
025658,7000 SS,1,Montagem,30,025658,EIXO SIMPLES,1,,,,,
025669,Içamento CBHF C/F,1,Montagem,30,025669,IÇAMENTO,1,,,,,
025669,IÇAMENTO COMPLETO C/ FREIO,1,,30,025670,IÇAMENTO,1,Pintura,,,CINZA,
025684,FECHAMENTO LATERAL A45 [F4 MT],2,Montagem,30,025684,LATERAL,1,Pintura,,,COLORIDO,
025686,PLATAFORMA [F4 MT],1,Montagem,30,025686,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
025840,5º Roda,1,Montagem,30,025840,EIXO SIMPLES,1,Pintura,,,CINZA,
025860,Eixo Diant. Pequeno,1,Montagem,30,025860,EIXO COMPLETO,1,Pintura,,,CINZA,
025860,Diant. Pequeno,1,Montagem,30,025832,EIXO SIMPLES,1,,,,,
029520,Tubo Espaçador A.L,1,Montagem,30,029520,FUEIRO,1,Pintura,,,,
029661,PLAT. 4M,1,Montagem,30,029661,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
029668,CHASSI F6 C/M,1,Montagem,30,029668,CHASSI,1,Pintura,Solda,,CINZA,
029685,FECHAMENTO DIANTEIRO A45 [F4/6 MT],1,Montagem,30,029685,LATERAL,1,Pintura,,,COLORIDO,
029687,FECHAMENTO TRASEIRO A45 [F4/6 MT],1,Montagem,30,029687,LATERAL,1,Pintura,,,COLORIDO,
029945,CHASSI F4 C/M,1,Montagem,30,029945,CHASSI,1,Pintura,Solda,,CINZA,
029958,"PLAT. 3,20M",1,Montagem,30,029958,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
029989,5º Roda F4/6,1,Montagem,30,029989,IÇAMENTO,1,Pintura,,,CINZA,
030216,Eixo Compl Bal Tandem c/Freio LD CBHM 4T,1,Montagem,30,030216,EIXO COMPLETO,1,Pintura,,,CINZA,
030246,Eixo Compl Bal Tandem c/Freio LE CBHM 4T,1,Montagem,30,030246,EIXO COMPLETO,1,Pintura,,,CINZA,
030340,Plataforma 3500/5000/8000 (CBHM),1,Montagem,30,030340,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
030347,Chassi 5000 SS,1,Montagem,30,030347,CHASSI,1,,,,,
030347,Chassi 5000 SS - COMPLETO,1,,,030588,CHASSI,1,Pintura,Solda,,CINZA,
030378,Lat SUP- CBH 5 (M17),1,Montagem,30,030378,LATERAL,1,Pintura,,,COLORIDO,
030383,Macaco Compl. CBHM 5000/FA,1,Montagem,30,030383,FUEIRO,1,Pintura,,,CINZA,
030383,CORRENTE 8 ELOS,1,Montagem,30,030789,ESTAMPARIA,1,,,,,
030423,Chassi 7000 SS,1,Montagem,30,030423,CHASSI,1,,Solda,,,
030423,Chassi 7000 SS - COMPLETO,1,,30,030669,CHASSI,1,Pintura,Solda,,CINZA,
030430,"Chassi da Caçamba CBH4,0",1,Montagem,30,030430,PLAT. TANQUE. CAÇAM.,1,,,,,
030467,Eixo Tras. Grande,1,Montagem,30,030467,EIXO COMPLETO,1,Pintura,,,CINZA,
030467,Tras. Grande,1,Montagem,30,030445,EIXO SIMPLES,1,,,,,
030468,Eixo Diant. Grande,1,Montagem,30,030468,EIXO COMPLETO,1,Pintura,,,CINZA,
030468,Diant. Grande,1,Montagem,30,030442,EIXO SIMPLES,1,,,,,
030493,CHASSI 2 EIXOS RS/RD SS,1,Montagem,30,030493,CHASSI,1,Pintura,Solda,,CINZA,
030499,"Chassi da CBH6,0 2 Eixos A.L",1,Montagem,30,030499,PLAT. TANQUE. CAÇAM.,1,,,,,
030587,Lat SUP - CBH 6 M17,2,Montagem,30,030587,LATERAL,1,Pintura,,,COLORIDO,
030599,"Lat INF LE (FECHO RÁPIDO) - CBH6,0 A.L",1,Montagem,30,030599,LATERAL,1,Pintura,,,COLORIDO,
030615,Plataforma 4500,1,Montagem,30,030615,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
030637,CHASSI 5000 COM MOLA,1,Montagem,30,030637,CHASSI,1,,Solda,,,
030679,"Chassi da CBH7,0 1 Eixo ",1,Montagem,30,030679,PLAT. TANQUE. CAÇAM.,1,,,,,
030716,Chassi CBH/CBHM 4t SC,1,Montagem,30,030716,CHASSI,1,,Solda,,,
030731,Chassi 7000 SC,1,Montagem,30,030731,CHASSI,1,Pintura,Solda,,CINZA,
030732,Lat INF LD - CBH 6 A.L (M17),1,Montagem,30,030732,LATERAL,1,Pintura,,,COLORIDO,
030787,CHASSI F4 SS,1,Montagem,30,030787,CHASSI,1,Pintura,Solda,,CINZA,
030788,CHASSI F6 SS,1,Montagem,30,030788,CHASSI,1,Pintura,Solda,,CINZA,
030792,CHASSI 2 EIXOS RS/TANDEM,1,Montagem,30,030792,CHASSI,1,Pintura,Solda,,CINZA,
030800,Eixo Compl Bal Tandem c/Freio LD CBHM 6T,1,Montagem,30,030800,EIXO COMPLETO,1,Pintura,,,CINZA,
030801,Eixo Compl Bal Tandem c/Freio LE CBHM 6T,1,Montagem,30,030801,EIXO COMPLETO,1,Pintura,,,CINZA,
030809,Plataforma 6000/10.000 - 2 Eixos (CBHM),1,Montagem,30,030809,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
030854,Traseira 10.000,1,Montagem,30,030854,LATERAL,1,Pintura,,,COLORIDO,
030938,CHASSI F6 SS BAG,1,Montagem,30,030938,CHASSI,1,Pintura,Solda,,CINZA,
030939,Comboio Simples (M98) F6,1,Montagem,30,030939,CHASSI,1,,,,,
030994,"Estrutura Grade Laterais Alt 0,60 - S4,0MD",2,Montagem,30,030994,LATERAL,1,Pintura,,,COLORIDO,
030995,"Estrutura Grade Dianteira Gigante ALT60 - S4,0MD",1,Montagem,30,030995,LATERAL,1,Pintura,,,COLORIDO,
031002,"Estrutura Grade Traseira ALT60 - S3,20/4,0MD ALT60",1,Montagem,30,031002,LATERAL,1,Pintura,,,COLORIDO,
031016,"Tras. de 0,45",1,Montagem,30,031016,LATERAL,1,Pintura,,,COLORIDO,
031020,"Est. Lat. - Alt 0,45 - s 4md",2,Montagem,30,031020,LATERAL,1,Pintura,,,COLORIDO,
031022,"Gigante de 0,45",1,Montagem,30,031022,LATERAL,1,Pintura,,,COLORIDO,
031034,"Est. Lat. ALT 0,45 - S3,20MD",2,Montagem,30,031034,LATERAL,1,Pintura,,,COLORIDO,
031048,"Est. Lat. INF ALT 0,45 - G4,0MD",2,Montagem,30,031048,LATERAL,1,Pintura,,,COLORIDO,
031049,"Gigante de 0,90",1,Montagem,30,031049,LATERAL,1,Pintura,,,COLORIDO,
031052,Tras Inferior,1,Montagem,30,031052,LATERAL,1,Pintura,,,COLORIDO,
031053,"Est. Lat. INF Alt 0,45 - G3,20MD",2,Montagem,30,031053,LATERAL,1,Pintura,,,COLORIDO,
