codigo;descricao
025688;FECHAMENTO LATERAL (ALT60) ITAUEIRA - S4,0M
025118;PINO DE TRAVAMENTO - ENGATE ESPECIAL COM MOLA
025828;COMBOIO REFORÇADO COM ENGATE RÁPIDO (M14)
025117;ESBARRO COMPLETO - ENGATE ESPECIAL COM MOLA
025142;TUBO LIMITADOR - ENGATE RÁPIDO ESPECIAL COM MOLA
025816;COMPLEM GUIA DO EMBOLO (SEM FREIO) - CARR MELAO
025140;PORCA DE APERTO - IÇAMENTO CARR MELÃO M12/02
025690;MANIVELA [F4,5]
025824;ENGATE RÁPIDO [F4,5]
025879;IÇAMENTO SIMPLES S/FREIO CARR MELÃO (M14)
494720;FUSO MACACO MONT CBH/CBHM
495943;PORCA CAST 1.1/2 - ICAM COM A3
035286;CHASSI SIMPLES CS [CARR F4,5 MELAO M24]
035290;EIXO SIMPLES CS [F4,5 M24]
035292;EIXO COMPLETO CS [F4,5 M24]
035314;5ª RODA [F4,5 M24]
035560;PLATAFORMA METÁLICA [F4,5 M24]
025151;FEIXE DE MOLAS (3 LAM) - 5ª RODA - CARRETA MELÃO (M12/02)
035314CO;5ª RODA CINZA [F4,5 M24]
033331;PINO DE ENGATE C/ ARGOLA [CBH/CBHM/F/FA]
440000;FEIXE DE MOLAS 8 LAMINAS [F4/FTC4300]
035560LC;PLATAFORMA METÁLICA LARANJA [F4,5 M24] Flag Romaneio
025638;FECHAMENTO TRASEIRO (ALT60) - F4,5M ITAUEIRA 4,00X2,30 Flag Romaneio
025688LC;FECHAMENTO LATERAL LARANJA (ALT60) ITAUEIRA - S4,0M Flag Romaneio
025635;FECHAMENTO DIANT (ALT60) - F4,5M ITAUEIRA 4,00x2,30m Flag Romaneio
025599;ACESSÓRIOS S4,0M M13 Flag Romaneio
035292CO;EIXO COMPLETO CS CINZA [F4,5 M24] Flag Romaneio
440000CO;FEIXE DE MOLAS 8 LAMINAS CINZA [F4/FTC4300] Flag Romaneio
035576CO;5ª RODA COMPLETA CINZA [F4,5 M24] Flag Romaneio
025880;IÇAMENTO COMPLETO S/FREIO CARR MELÃO (M14) Flag Romaneio
035661;ACESSORIOS CS (M24) CARRETA MELÃO Flag Romaneio
035286CO;CHASSI SIMPLES CS CINZA [CARR F4,5 MELAO M24] Flag Romaneio
025838;COMBOIO COM ENGATE RÁPIDO COMPLETO (M14) - CARRETA MELÃO Flag Romaneio
