1o. Agrupamento,REFERENTE AO,2o. Agrupamento,Recurso,COR,Descrição,Matéria Prima,Compr,Largu,Quant,Saldo,Pendente,Etapa Seguinte,setor,setor_novo,
14/05/2024,010108,GMS C.Plasma,464338,,LONGARINA LD  PLAT BOMBA ANDR,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",900,207,1,0,1,S Estamparia,TANQUE,#REF!,464338-1;
14/05/2024,010108,GMS C.Plasma,010029,,APOIO PLAT BOMBA ANDR P/CHASSI 90CM,"120650 - CHAPA GQ   5/16(7,94)     1010",140,76,1,9,1,Sem Processo,TANQUE,#REF!,10029-1;
13/05/2024,010110,GMS C.Plasma,464296,,LONG PLATAF LE BOMBA ANDRADE,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",900,207,1,43,1,S Estamparia,TANQUE,#REF!,464296-1;
13/05/2024,010110,GMS C.Plasma,010029,,APOIO PLAT BOMBA ANDR P/CHASSI 90CM,"120650 - CHAPA GQ   5/16(7,94)     1010",140,76,1,9,1,Sem Processo,TANQUE,#REF!,10029-1;
21/11/2024,016147,GMS C.Serras,434656,,PONTA EIXO-CUBO FORJ  (00)F6,110980 - ACO LAMINADO RED 1.3/4    1045,306,"44,45",2,116,2,S Usinagem,EIXO,#REF!,434656-2;
21/11/2024,016147,GMS C.Plasma,016070,,"CHAPEAM EIXO           (CEN-2,00) F6SS","120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",1800,234,2,17,2,S Estamparia,EIXO,#REF!,16070-2;
21/11/2024,016147,GMS C.Plasma,016081,,COMPL EIXO                        (CEN) F6SS,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",354,200,2,16,2,S Estamparia,EIXO,#REF!,16081-2;
21/11/2024,016147,GMS C.Plasma,425140,,CHAPEAM GUIA-BALANCIM     FT5,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",200,200,2,0,2,S Estamparia,EIXO,#REF!,425140-2;
21/11/2024,016147,GMS C.Plasma,016111,,REFORCO COMPL EIXO      (CEN) F6SS,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",139,100,2,56,2,S Estamparia,EIXO,#REF!,16111-2;
21/11/2024,016147,GMS C.Plasma,016135,,FECHAM INT EIXO               (CEN) F6SS,"120250 - CHAPA #11(3,04) A36/CIVIL300",145,80,2,844,2,S Estamparia,EIXO,#REF!,16135-2;
