processo,conjunto,codigo,descricao,materia_prima,comprimento,largura,quantidade,etapa_seguinte,carreta,qt_conjunto,codigo_pintura,descricao_pintura,conjunto_desc
5ª RODA,025840,442008,PINO LIMITADOR GIRO-5RODA U6,"112215 - ACO TREF. RED. SAE-1020 - 1""",135,"25,4",1,S Usinagem,025840,1.0,,,5º Roda
5ª RODA,025840,442008,PINO LIMITADOR GIRO-5RODA U6,"112215 - ACO TREF. RED. SAE-1020 - 1""",135,"25,4",1,S Usinagem,CBH6-2E FO SS  RS/RD M21,1.0,,,5º Roda
5ª RODA,025840,442008,PINO LIMITADOR GIRO-5RODA U6,"112215 - ACO TREF. RED. SAE-1020 - 1""",135,"25,4",1,S Usinagem,CBH6-2E FO SS RS/RD CB P750(I) M21,1.0,,,5º Roda
5ª RODA,025840,442008,PINO LIMITADOR GIRO-5RODA U6,"112215 - ACO TREF. RED. SAE-1020 - 1""",135,"25,4",1,S Usinagem,CBH6-2E FO SS RS/RD M21,1.0,,,5º Roda
5ª RODA,025840,442008,PINO LIMITADOR GIRO-5RODA U6,"112215 - ACO TREF. RED. SAE-1020 - 1""",135,"25,4",1,S Usinagem,CBH6-2E FO SS RS/RD P700(R) M21,1.0,,,5º Roda
5ª RODA,025840,442008,PINO LIMITADOR GIRO-5RODA U6,"112215 - ACO TREF. RED. SAE-1020 - 1""",135,"25,4",1,S Usinagem,CBH6-2E FO SS RS/RD P750(I) M21,1.0,,,5º Roda
5ª RODA,025840,442008,PINO LIMITADOR GIRO-5RODA U6,"112215 - ACO TREF. RED. SAE-1020 - 1""",135,"25,4",1,S Usinagem,CBH6-2E FO SS RS/RD P750(I) M21 LJ,1.0,,,5º Roda
5ª RODA,025840,442008,PINO LIMITADOR GIRO-5RODA U6,"112215 - ACO TREF. RED. SAE-1020 - 1""",135,"25,4",1,S Usinagem,CBH6-2E FO SS RS/RD TTE P750(I) M21,1.0,,,5º Roda
5ª RODA,025840,442008,PINO LIMITADOR GIRO-5RODA U6,"112215 - ACO TREF. RED. SAE-1020 - 1""",135,"25,4",1,S Usinagem,CBH6-2E FO SS RS/RD TTUG P750(I) M21,1.0,,,5º Roda
5ª RODA,025840,442008,PINO LIMITADOR GIRO-5RODA U6,"112215 - ACO TREF. RED. SAE-1020 - 1""",135,"25,4",1,S Usinagem,CBH6-2E FO SS RS/T M21,1.0,,,5º Roda
