Recurso,Peca,Qtde,Etapa,LEAD TIME,Código,Célula,flag peça,Etapa2,Etapa3,Etapa4,Etapa5,Etapa6
CBHM5000 CA SS RD B1.6M MM M17,Chassi 5000 SS,1,Montagem,30,030347,CHASSI,1,,,,,
CBHM5000 CA SS RD B1.6M MM M17,Chassi 5000 SS - COMPLETO,1,,,030588,CHASSI,1,Pintura,Solda,,CINZA,
CBHM5000 CA SS RD B1.6M MM M17,"Fueiro Diant LD 0,90 - CBHM",1,Montagem,30,031255,FUEIRO,1,Pintura,,,,
CBHM5000 CA SS RD B1.6M MM M17,"Fueiro Diant LE 0,90 - CBHM",1,Montagem,30,031254,FUEIRO,1,Pintura,,,,
CBHM5000 CA SS RD B1.6M MM M17,"Fueiro Tras Direito 1,10m - CBHM 5000 c/Corrente",1,Montagem,30,031541,FUEIRO,1,Pintura,,,,
CBHM5000 CA SS RD B1.6M MM M17,"Fueiro Tras Esquerdo 1,10m - CBHM 5000 c/Corrente",1,Montagem,30,031542,FUEIRO,1,Pintura,,,,
CBHM5000 CA SS RD B1.6M MM M17,Cabeçao S/F,1,Montagem,30,031511,IÇAMENTO,1,,,,,
CBHM5000 CA SS RD B1.6M MM M17,Lat. SUP (5000/4500) CBHM,2,Montagem,30,493181,LATERAL,1,Pintura,,,COLORIDO,
CBHM5000 CA SS RD B1.6M MM M17,Lat. INF (5000/4500) CBHM,2,Montagem,30,493193,LATERAL,1,Pintura,,,COLORIDO,
CBHM5000 CA SS RD B1.6M MM M17,"Diant INF 0,45",1,Montagem,30,460400,LATERAL,1,Pintura,,,COLORIDO,
CBHM5000 CA SS RD B1.6M MM M17,"Diant SUP 0,45",1,Montagem,30,460382,LATERAL,1,Pintura,,,COLORIDO,
CBHM5000 CA SS RD B1.6M MM M17,Traseira 5000 Cafeeira C/ gancho,1,Montagem,30,031540,LATERAL,1,Pintura,,,COLORIDO,
CBHM5000 CA SS RD B1.6M MM M17,Plataforma 3500/5000/8000 (CBHM),1,Montagem,30,030340,PLAT. TANQUE. CAÇAM.,1,Pintura,Solda,,COLORIDO,
CBHM5000 CA SS RD B1.6M MM M17,Macaco Compl. CBHM 5000/FA,1,Montagem,30,030383,FUEIRO,1,Pintura,,,CINZA,
CBHM5000 CA SS RD B1.6M MM M17,CUBO 5000 SS,2,Montagem,30,222402,CUBO DE RODA,1,,,,,
CBHM5000 CA SS RD B1.6M MM M17,PINO DE ENGATE ,1,Montagem,30,033331,FUEIRO,1,,,,,
CBHM5000 CA SS RD B1.6M MM M17,CILINDRO 5000,1,Montagem,30,034550,CILINDRO,1,Pintura,,,CINZA,
CBHM5000 CA SS RD B1.6M MM M17,Trava CBH/CBHM,2,Montagem,30,023590,PLAT. TANQUE. CAÇAM.,1,,,,,
CBHM5000 CA SS RD B1.6M MM M17,TUBO HIDRÁULICO 5000,2,Montagem,30,030671,CONJ INTERMED,1,Pintura,,,CINZA,
CBHM5000 CA SS RD B1.6M MM M17,ENGATE COMPL. CBHM,1,Montagem,30,032356,CONJ INTERMED,1,,,,,
CBHM5000 CA SS RD B1.6M MM M17,VARÃO MÉDIO (5000),2,Montagem,30,023620,CONJ INTERMED,1,Pintura,,,CINZA,
CBHM5000 CA SS RD B1.6M MM M17,REGULADOR DO VARÃO,2,Montagem,30,023528,CONJ INTERMED,1,Pintura,,,CINZA,
CBHM5000 CA SS RD B1.6M MM M17,CAMISA CILINDRO 5000,1,Montagem,30,034547,CILINDRO 2,1,,,,,
CBHM5000 CA SS RD B1.6M MM M17,HASTE CILINDRO 5000/7t,1,Montagem,30,034899,CILINDRO 2,1,,,,,
CBHM5000 CA SS RD B1.6M MM M17,CILINDRO 5000,1,Montagem,30,034550,QUALIDADE,1,,,,,
CBHM5000 CA SS RD B1.6M MM M17,TUBO HIDRÁULICO 5000,2,Montagem,30,030671,QUALIDADE,1,,,,,
CBHM5000 CA SS RD B1.6M MM M17,CORRENTE 8 ELOS,1,Montagem,30,030789,ESTAMPARIA,1,,,,,
CBHM5000 CA SS RD B1.6M MM M17,CORRENTE 13 ELOS,2,Montagem,30,464831,ESTAMPARIA,1,,,,,
CBHM5000 CA SS RD B1.6M MM M17,Eixo Completo SS RD (4500) CBHM,1,Montagem,30,425916,EIXO COMPLETO,1,Pintura,,,CINZA,
CBHM5000 CA SS RD B1.6M MM M17,EIXO 4500 SS RD,1,Montagem,30,025622,EIXO SIMPLES,1,,,,,
