,carreta,processo,data_carga,peca,qt_planejada_montagem,qt_apontada_montagem,qt_faltante_montagem,codigo_tratado,descricao_tratada,qtd_carretas,celula,codigo,qt_planejada,qt_apontada_pintura,qt_faltante_pintura
0,CBH6 UG SS RD P750(I) M22,Fueiro,2024-05-13,FUEIRINHO LE M21,5,0,5,032364,FUEIRINHO LE M21,1,FUEIRO,032364,5.0,0.0,5.0
1,CBH6 UG SS RD P750(I) M22,Intermed.,2024-05-13,Cabeçao S/F,8,3,5,031511,Cabeçao S/F,1,,,,,
2,CBH6 UG SS RD P750(I) M22,Intermed.,2024-05-13,PINO DE ENGATE ,8,11,-3,033331,PINO DE ENGATE ,1,,,,,
3,CBH6 UG SS RD P750(I) M22,Plataforma,2024-05-13,CHASSI DA CAÇAMBA [CBH6 M22],2,0,2,032531,CHASSI DA CAÇAMBA [CBH6 M22],1,,,,,
4,CBH6 UG SS RD P750(I) M22,Fueiro,2024-05-13,FUEIRINHO LD M21,5,0,5,032363,FUEIRINHO LD M21,1,FUEIRO,032363,5.0,0.0,5.0
5,CBH6 UG SS RD P750(I) M22,Eixo,2024-05-13,6000 SS,2,0,2,032641,6000 SS,1,EIXO COMPLETO,032641,2.0,0.0,2.0
6,CBH6 UG SS RD P750(I) M22,Cilindro,2024-05-13,CILINDRO CAF,2,7,-5,034630,CILINDRO CAF,1,CILINDRO,034630,2.0,0.0,2.0
7,CBH6 UG SS RD P750(I) M22,Traseira,2024-05-13,Traseira CBH U.G,5,0,5,032366,Traseira CBH U.G,1,LATERAL,032366,5.0,0.0,5.0
8,CBH6 UG SS RD P750(I) M22,Macaco,2024-05-13,Macaco Compl. CBHM 5000/FA,7,0,7,030383,Macaco Compl. CBHM 5000/FA,1,FUEIRO,030383,7.0,0.0,7.0
9,CBH6 UG SS RD P750(I) M22,Caçamba,2024-05-13,"CBH6,0 - UG - 01 EIXO (NOVO)",1,0,1,032633,"CBH6,0 - UG - 01 EIXO (NOVO)",1,PLAT. TANQUE. CAÇAM.,032633,1.0,1.0,0.0
10,CBH6 UG SS RD P750(I) M22,Chassi,2024-05-13,CHASSI 6000 SS [CBH6 M22],2,0,2,032530,CHASSI 6000 SS [CBH6 M22],1,CHASSI,032530,2.0,0.0,2.0
11,CBH6 FO SS RD P750(I) M22,Fueiro,2024-05-13,Fueiro LD - CBH A.L (M19),3,0,3,031289,Fueiro LD - CBH A.L (M19),1,FUEIRO,031289,3.0,0.0,3.0
12,CBH6 FO SS RD P750(I) M22,Intermed.,2024-05-13,PINO DE ENGATE ,8,11,-3,033331,PINO DE ENGATE ,1,,,,,
13,CBH6 FO SS RD P750(I) M22,Fueiro,2024-05-13,Fueiro do Banquinho,6,0,6,031218,Fueiro do Banquinho,1,,,,,
14,CBH6 FO SS RD P750(I) M22,Cilindro,2024-05-13,CILINDRO CAF,2,7,-5,034630,CILINDRO CAF,1,CILINDRO,034630,2.0,0.0,2.0
15,CBH6 FO SS RD P750(I) M22,Lateral,2024-05-13,Lat INF LD - CBH 6 A.L (M17),1,0,1,030732,Lat INF LD - CBH 6 A.L (M17),1,LATERAL,030732,1.0,0.0,1.0
16,CBH6 FO SS RD P750(I) M22,Chassi,2024-05-13,CHASSI 6000 SS [CBH6 M22],2,0,2,032530,CHASSI 6000 SS [CBH6 M22],1,CHASSI,032530,2.0,0.0,2.0
17,CBH6 FO SS RD P750(I) M22,Lateral,2024-05-13,Lat SUP - CBH 6 M17,2,0,2,030587,Lat SUP - CBH 6 M17,1,LATERAL,030587,2.0,0.0,2.0
18,CBH6 FO SS RD P750(I) M22,Fueiro,2024-05-13,Fueiro LE - CBH A.L (M19),3,0,3,031290,Fueiro LE - CBH A.L (M19),1,FUEIRO,031290,3.0,0.0,3.0
19,CBH6 FO SS RD P750(I) M22,Caçamba,2024-05-13,"CBH6,0 - A.L - 01 EIXO (NOVO)",1,0,1,032635,"CBH6,0 - A.L - 01 EIXO (NOVO)",1,PLAT. TANQUE. CAÇAM.,032635,1.0,1.0,0.0
20,CBH6 FO SS RD P750(I) M22,Traseira,2024-05-13,Traseira A.L,3,0,3,031228,Traseira A.L,1,LATERAL,031228,3.0,0.0,3.0
21,CBH6 FO SS RD P750(I) M22,Dianteira ,2024-05-13,Banquinho,3,0,3,031230,Banquinho,1,LATERAL,031230,3.0,0.0,3.0
22,CBH6 FO SS RD P750(I) M22,Eixo,2024-05-13,6000 SS,2,0,2,032641,6000 SS,1,EIXO COMPLETO,032641,2.0,0.0,2.0
23,CBH6 FO SS RD P750(I) M22,Intermed.,2024-05-13,Tubo Espaçador A.L,3,0,3,029520,Tubo Espaçador A.L,1,FUEIRO,029520,3.0,0.0,3.0
24,CBH6 FO SS RD P750(I) M22,Lateral,2024-05-13,"Lat INF LE (FECHO RÁPIDO) - CBH6,0 A.L",1,0,1,030599,"Lat INF LE (FECHO RÁPIDO) - CBH6,0 A.L",1,LATERAL,030599,1.0,0.0,1.0
25,CBH6 FO SS RD P750(I) M22,Plataforma,2024-05-13,CHASSI DA CAÇAMBA [CBH6 M22],2,0,2,032531,CHASSI DA CAÇAMBA [CBH6 M22],1,,,,,
26,CBH6 FO SS RD P750(I) M22,Intermed.,2024-05-13,Cabeçao S/F,8,3,5,031511,Cabeçao S/F,1,,,,,
27,CBH5 FO SS RD P750(I) M21,Eixo,2024-05-13,Eixo 5000 SS,3,3,0,460576,Eixo 5000 SS,2,EIXO COMPLETO,460576,3.0,0.0,3.0
28,CBH5 FO SS RD P750(I) M21,Intermed.,2024-05-13,Tubo Espaçador A.L,3,0,3,029520,Tubo Espaçador A.L,2,FUEIRO,029520,3.0,0.0,3.0
29,CBH5 FO SS RD P750(I) M21,Fueiro,2024-05-13,Fueiro LD - CBH A.L (M19),3,0,3,031289,Fueiro LD - CBH A.L (M19),2,FUEIRO,031289,3.0,0.0,3.0
30,CBH5 FO SS RD P750(I) M21,Traseira,2024-05-13,Traseira A.L,3,0,3,031228,Traseira A.L,2,LATERAL,031228,3.0,0.0,3.0
31,CBH5 FO SS RD P750(I) M21,Lateral,2024-05-13,"Lat INF LE (FECHO RÁPIDO) - CBH5,0 7M³ A.L M19",2,0,2,031401,"Lat INF LE (FECHO RÁPIDO) - CBH5,0 7M³ A.L M19",2,LATERAL,031401,2.0,0.0,2.0
32,CBH5 FO SS RD P750(I) M21,Lateral,2024-05-13,Lat INF LD - CBH5 7M³ A.L M19,2,0,2,031422,Lat INF LD - CBH5 7M³ A.L M19,2,LATERAL,031422,2.0,0.0,2.0
33,CBH5 FO SS RD P750(I) M21,Fueiro,2024-05-13,Fueiro do Banquinho,6,0,6,031218,Fueiro do Banquinho,2,,,,,
34,CBH5 FO SS RD P750(I) M21,Fueiro,2024-05-13,Fueiro LE - CBH A.L (M19),3,0,3,031290,Fueiro LE - CBH A.L (M19),2,FUEIRO,031290,3.0,0.0,3.0
35,CBH5 FO SS RD P750(I) M21,Lateral,2024-05-13,Lat SUP- CBH 5 (M17),4,0,4,030378,Lat SUP- CBH 5 (M17),2,LATERAL,030378,4.0,0.0,4.0
36,CBH5 FO SS RD P750(I) M21,Plataforma,2024-05-13,"Chassi da CBH5,0 M21",3,0,3,032470,"Chassi da CBH5,0 M21",2,,,,,
37,CBH5 FO SS RD P750(I) M21,Intermed.,2024-05-13,Cabeçao S/F,8,3,5,031511,Cabeçao S/F,2,,,,,
38,CBH5 FO SS RD P750(I) M21,Macaco,2024-05-13,Macaco Compl. CBHM 5000/FA,7,0,7,030383,Macaco Compl. CBHM 5000/FA,2,FUEIRO,030383,7.0,0.0,7.0
39,CBH5 FO SS RD P750(I) M21,Dianteira ,2024-05-13,Banquinho,3,0,3,031230,Banquinho,2,LATERAL,031230,3.0,0.0,3.0
40,CBH5 FO SS RD P750(I) M21,Caçamba,2024-05-13,"CBH 5,0 - A.L",2,0,2,032361,"CBH 5,0 - A.L",2,PLAT. TANQUE. CAÇAM.,032361,2.0,0.0,2.0
41,CBH5 FO SS RD P750(I) M21,Chassi,2024-05-13,Chassi 5000 SS,3,0,3,030588,Chassi 5000 SS,2,CHASSI,030588,3.0,0.0,3.0
42,CBH5 FO SS RD P750(I) M21,Cilindro,2024-05-13,CILINDRO 5000,3,4,-1,034550,CILINDRO 5000,2,CILINDRO,034550,3.0,0.0,3.0
43,CBH5 FO SS RD P750(I) M21,Intermed.,2024-05-13,PINO DE ENGATE ,8,11,-3,033331,PINO DE ENGATE ,2,,,,,
44,CBH7 UG SS RD P750(I) M21,Caçamba,2024-05-13,"CBH7,0 - U.G - 01 Eixo",3,0,3,032390,"CBH7,0 - U.G - 01 Eixo",3,PLAT. TANQUE. CAÇAM.,032390,3.0,0.0,3.0
