,processo,codigo,descricao,materia_prima,quantidade
0,Acessórios,483254,CORPO PINO TRAS BAL   TANDEM  FA4/6,"112306 - ACO TREF. RED. SAE-1045 - 1.1/4""",7.0
1,Caçamba,012919,REFORCO EXTERNO          CACAMBA    CBHF,"120203 - BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",16.0
2,Caçamba,022263,COMPLEM. TRANSV. INTERM. CENTRAL - CAÇAMBA GRAN/FORR (M12) CBH,"120305 - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",8.0
3,Caçamba,025401,SUPORTE DO CILINDRO - CHASSI DA CAÇAMBA CBH (M13) 8T,"120352 - CHAPA GQ   1/2 (12,7)     1010",2.0
4,Caçamba,025473,BUCHA SUPERIOR - CHASSI DA CAÇAMBA - CBH 8T (M13),134157 - TUBO MECANICO  50 X  32  ST-52,2.0
5,Caçamba,026416,CORPO DA TRAVA CBH/CBHM 4/6,"120352 - CHAPA GQ   1/2 (12,7)     1010",16.0
6,Caçamba,028757,REFORÇO DE ARTICULAÇÃO- CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",2.0
7,Caçamba,029964,"APOIO DA TAMPA - CAÇAMBA CBH 6,0 C/ ABERTURA LATERAL","120650 - CHAPA GQ   5/16(7,94)     1010",6.0
8,Caçamba,029965,"REFORÇO APOIO DA TAMPA - CAÇAMBA CBH 6,0 C/ ABERTURA LATERAL","120650 - CHAPA GQ   5/16(7,94)     1010",6.0
9,Caçamba,030334,LONGARINA DA PLATAFORMA M17    CBHM,"120273 - CHAPA FQ  3,75mm. SAE-1006",10.0
10,Caçamba,030336,APOIO ARTICULAÇÃO - PLATAFORMA M17 (4T) CBH/CBHM,"120650 - CHAPA GQ   5/16(7,94)     1010",12.0
11,Caçamba,030338,MANCAL - PLATAFORMA M17 (4T) CBH/CBHM,134212 - TUBO MECANICO  56 X  40  ST-52,16.0
12,Caçamba,030366,TRANSVERSINA INFERIOR MAIOR [CAÇAMBA - CBH M17],"120250 - CHAPA #11(3,04) A36/CIVIL300",18.0
13,Caçamba,030368,FECHAM DA TRANSVERSINA - CAÇAMBA SIMPLES GRAN/FORR (M17),"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",52.0
14,Caçamba,030373,TRANSVERSINA INTERMEDIÁRIA CENTRAL [CAÇAMBA - CBH M17],"120250 - CHAPA #11(3,04) A36/CIVIL300",16.0
15,Caçamba,030380,REFORÇO INTERNO TRASEIRO - CAÇAMBA SIMPLES GRAN/FORR (M17) CBH,"120250 - CHAPA #11(3,04) A36/CIVIL300",16.0
16,Caçamba,030384,CHAPEAM LAT - CAÇAMBA SIMPLES GRAN/FORR (M17) CBH,"120306 - CHAPA FQ #12 (1,50 x 3,00m) 1010",12.0
17,Caçamba,030456,TRANSV. INTERM. CENTRAL,"120250 - CHAPA #11(3,04) A36/CIVIL300",2.0
18,Caçamba,030500,LONGARINA - CBH M17 2 EIXOS,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",2.0
19,Caçamba,030501,REFORÇO LONGARINA,"120650 - CHAPA GQ   5/16(7,94)     1010",2.0
20,Caçamba,030506,TRANSVERSINA DIANT/TRAS - CHASSI DA PLATAFORMA CBH/CBHM 6T 2E,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",2.0
21,Caçamba,030512,"TRANSVERSINA INTERM. - CHASSI  DA CAÇAMBA - CBH 6,0 2E","120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",2.0
22,Caçamba,030544,"CHAPEAMENTO LATERAL [CAÇAMBA - CBH6,0 M17]","120535 - CHAPA FQ #12 (1,50 x 3,80m) 1010",4.0
23,Caçamba,030547,FECHAMENTO DO SUPORTE,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",2.0
24,Caçamba,030591,FECHAM TRAS CENTRAL - CAÇAMBA SIMPLES GRAN/FORR (M17) CBH ABERTURA LATERAL,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",8.0
25,Caçamba,030598,REFORÇO LATERAL EXTERNO CBH (M17) ABERTURA LAT.,"120352 - CHAPA GQ   1/2 (12,7)     1010",4.0
26,Caçamba,030645,REFORÇO TRANSV DIANTEIRA - PLATAFORMA CBHM M17,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",6.0
27,Caçamba,031203,REFORÇO INTERNO DIANTEIRO - CAÇAMBA M18,"120250 - CHAPA #11(3,04) A36/CIVIL300",16.0
28,Caçamba,031204,REFORÇO LATERAL DIANTEIRO - CAÇAMBA M18,"120273 - CHAPA FQ  3,75mm. SAE-1006",16.0
29,Caçamba,031206,CHAPEAMENTO FRONTAL - CAÇAMBA M18,"120548 - CHAPA FQ #12 (1,50 x 4,00m) 1010",8.0
30,Caçamba,031207,FECHAMENTO FUEIRO REFORÇO DIANTEIRO - CAÇAMBA M18,"120273 - CHAPA FQ  3,75mm. SAE-1006",16.0
31,Caçamba,031239,DOBRADIÇA HORIZONTAL CBH/CBHM (M18),"120054 - CHAPA GQ   5/8 (15,8)     1010",8.0
32,Caçamba,031508,"LONGARINA - CHASSI DA CAÇAMBA - CBH 6,0T 7M³","120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",2.0
33,Caçamba,032317,COMPL FECHAMENTO FUEIRO REFORÇO DIANTEIRO - CAÇAMBA M18,"120273 - CHAPA FQ  3,75mm. SAE-1006",16.0
34,Caçamba,032439,FECHAMENTO LATERAL TRASEIRO [CAÇAMBA SIMPLES - CBH M21],"120273 - CHAPA FQ  3,75mm. SAE-1006",16.0
