,data_carga,codigo,peca_x,celula_x,qt_planejada_x,qt_apontada_pintura,qt_faltante_pintura,carreta,processo_x,celula_y,codigo_conjunto,peca_y,qt_planejada_y,qt_apontada_montagem,qt_faltante,codigo_tratado,descricao_tratada,PED_QUANTIDADE,Total Faltante,processo_y,Total Faltante Pintura
0,2024-05-08,023310,VARÃO GRANDE (6000),CONJ INTERMED,4,0,4,,,,,,,,,,,,,,
1,2024-05-08,023528,REGULADOR DO VARÃO,CONJ INTERMED,16,0,16,,,,,,,,,,,,,,
2,2024-05-08,023620,VARÃO MÉDIO (5000),CONJ INTERMED,12,0,12,,,,,,,,,,,,,,
3,2024-05-08,024480,Eixo Tandem 4T,EIXO COMPLETO,1,0,1,,,,,,,,,,,,,,
4,2024-05-08,024481,Eixo Tandem 4T S/ Trava,EIXO COMPLETO,1,0,1,,,,,,,,,,,,,,
5,2024-05-08,030340,Plataforma 3500/5000/8000 (CBHM),PLAT. TANQUE. CAÇAM.,11,0,11,CBHM5000 CA SS RD MM M17,Plataforma,PLAT. TANQUE. CAÇAM.,030340,Plataforma 3500/5000/8000 (CBHM),11.0,0.0,11.0,030340,Plataforma 3500/5000/8000 (CBHM),2.0,11.0,Chassi,8.0
6,2024-05-08,030340,Plataforma 3500/5000/8000 (CBHM),PLAT. TANQUE. CAÇAM.,11,0,11,CBHM5000 CA SS RD MM M17,Plataforma,PLAT. TANQUE. CAÇAM.,030340,Plataforma 3500/5000/8000 (CBHM),11.0,0.0,11.0,030340,Plataforma 3500/5000/8000 (CBHM),2.0,11.0,Dianteira ,21.0
7,2024-05-08,030340,Plataforma 3500/5000/8000 (CBHM),PLAT. TANQUE. CAÇAM.,11,0,11,CBHM5000 CA SS RD MM M17,Plataforma,PLAT. TANQUE. CAÇAM.,030340,Plataforma 3500/5000/8000 (CBHM),11.0,0.0,11.0,030340,Plataforma 3500/5000/8000 (CBHM),2.0,11.0,Eixo,8.0
8,2024-05-08,030340,Plataforma 3500/5000/8000 (CBHM),PLAT. TANQUE. CAÇAM.,11,0,11,CBHM5000 CA SS RD MM M17,Plataforma,PLAT. TANQUE. CAÇAM.,030340,Plataforma 3500/5000/8000 (CBHM),11.0,0.0,11.0,030340,Plataforma 3500/5000/8000 (CBHM),2.0,11.0,Fueiros,39.0
9,2024-05-08,030340,Plataforma 3500/5000/8000 (CBHM),PLAT. TANQUE. CAÇAM.,11,0,11,CBHM5000 CA SS RD MM M17,Plataforma,PLAT. TANQUE. CAÇAM.,030340,Plataforma 3500/5000/8000 (CBHM),11.0,0.0,11.0,030340,Plataforma 3500/5000/8000 (CBHM),2.0,11.0,Lateral,44.0
10,2024-05-08,030340,Plataforma 3500/5000/8000 (CBHM),PLAT. TANQUE. CAÇAM.,11,0,11,CBHM5000 CA SS RD MM M17,Plataforma,PLAT. TANQUE. CAÇAM.,030340,Plataforma 3500/5000/8000 (CBHM),11.0,0.0,11.0,030340,Plataforma 3500/5000/8000 (CBHM),2.0,11.0,Macaco,13.0
11,2024-05-08,030340,Plataforma 3500/5000/8000 (CBHM),PLAT. TANQUE. CAÇAM.,11,0,11,CBHM5000 CA SS RD MM M17,Plataforma,PLAT. TANQUE. CAÇAM.,030340,Plataforma 3500/5000/8000 (CBHM),11.0,0.0,11.0,030340,Plataforma 3500/5000/8000 (CBHM),2.0,11.0,Plataforma,11.0
12,2024-05-08,030340,Plataforma 3500/5000/8000 (CBHM),PLAT. TANQUE. CAÇAM.,11,0,11,CBHM5000 CA SS RD MM M17,Plataforma,PLAT. TANQUE. CAÇAM.,030340,Plataforma 3500/5000/8000 (CBHM),11.0,0.0,11.0,030340,Plataforma 3500/5000/8000 (CBHM),2.0,11.0,Traseira,7.0
13,2024-05-08,030340,Plataforma 3500/5000/8000 (CBHM),PLAT. TANQUE. CAÇAM.,11,0,11,CBHM5000 CA SS RD ABA MM P750(I) M17,Plataforma,PLAT. TANQUE. CAÇAM.,030340,Plataforma 3500/5000/8000 (CBHM),11.0,0.0,11.0,030340,Plataforma 3500/5000/8000 (CBHM),5.0,11.0,Chassi,8.0
14,2024-05-08,030340,Plataforma 3500/5000/8000 (CBHM),PLAT. TANQUE. CAÇAM.,11,0,11,CBHM5000 CA SS RD ABA MM P750(I) M17,Plataforma,PLAT. TANQUE. CAÇAM.,030340,Plataforma 3500/5000/8000 (CBHM),11.0,0.0,11.0,030340,Plataforma 3500/5000/8000 (CBHM),5.0,11.0,Dianteira ,21.0
15,2024-05-08,030340,Plataforma 3500/5000/8000 (CBHM),PLAT. TANQUE. CAÇAM.,11,0,11,CBHM5000 CA SS RD ABA MM P750(I) M17,Plataforma,PLAT. TANQUE. CAÇAM.,030340,Plataforma 3500/5000/8000 (CBHM),11.0,0.0,11.0,030340,Plataforma 3500/5000/8000 (CBHM),5.0,11.0,Eixo,8.0
16,2024-05-08,030340,Plataforma 3500/5000/8000 (CBHM),PLAT. TANQUE. CAÇAM.,11,0,11,CBHM5000 CA SS RD ABA MM P750(I) M17,Plataforma,PLAT. TANQUE. CAÇAM.,030340,Plataforma 3500/5000/8000 (CBHM),11.0,0.0,11.0,030340,Plataforma 3500/5000/8000 (CBHM),5.0,11.0,Fueiros,39.0
17,2024-05-08,030340,Plataforma 3500/5000/8000 (CBHM),PLAT. TANQUE. CAÇAM.,11,0,11,CBHM5000 CA SS RD ABA MM P750(I) M17,Plataforma,PLAT. TANQUE. CAÇAM.,030340,Plataforma 3500/5000/8000 (CBHM),11.0,0.0,11.0,030340,Plataforma 3500/5000/8000 (CBHM),5.0,11.0,Lateral,44.0
18,2024-05-08,030340,Plataforma 3500/5000/8000 (CBHM),PLAT. TANQUE. CAÇAM.,11,0,11,CBHM5000 CA SS RD ABA MM P750(I) M17,Plataforma,PLAT. TANQUE. CAÇAM.,030340,Plataforma 3500/5000/8000 (CBHM),11.0,0.0,11.0,030340,Plataforma 3500/5000/8000 (CBHM),5.0,11.0,Macaco,13.0
19,2024-05-08,030340,Plataforma 3500/5000/8000 (CBHM),PLAT. TANQUE. CAÇAM.,11,0,11,CBHM5000 CA SS RD ABA MM P750(I) M17,Plataforma,PLAT. TANQUE. CAÇAM.,030340,Plataforma 3500/5000/8000 (CBHM),11.0,0.0,11.0,030340,Plataforma 3500/5000/8000 (CBHM),5.0,11.0,Plataforma,11.0
20,2024-05-08,030340,Plataforma 3500/5000/8000 (CBHM),PLAT. TANQUE. CAÇAM.,11,0,11,CBHM5000 CA SC RD MM M17,Plataforma,PLAT. TANQUE. CAÇAM.,030340,Plataforma 3500/5000/8000 (CBHM),11.0,0.0,11.0,030340,Plataforma 3500/5000/8000 (CBHM),3.0,11.0,Chassi,3.0
21,2024-05-08,030340,Plataforma 3500/5000/8000 (CBHM),PLAT. TANQUE. CAÇAM.,11,0,11,CBHM5000 CA SC RD MM M17,Plataforma,PLAT. TANQUE. CAÇAM.,030340,Plataforma 3500/5000/8000 (CBHM),11.0,0.0,11.0,030340,Plataforma 3500/5000/8000 (CBHM),3.0,11.0,Dianteira ,21.0
22,2024-05-08,030340,Plataforma 3500/5000/8000 (CBHM),PLAT. TANQUE. CAÇAM.,11,0,11,CBHM5000 CA SC RD MM M17,Plataforma,PLAT. TANQUE. CAÇAM.,030340,Plataforma 3500/5000/8000 (CBHM),11.0,0.0,11.0,030340,Plataforma 3500/5000/8000 (CBHM),3.0,11.0,Eixo,4.0
23,2024-05-08,030340,Plataforma 3500/5000/8000 (CBHM),PLAT. TANQUE. CAÇAM.,11,0,11,CBHM5000 CA SC RD MM M17,Plataforma,PLAT. TANQUE. CAÇAM.,030340,Plataforma 3500/5000/8000 (CBHM),11.0,0.0,11.0,030340,Plataforma 3500/5000/8000 (CBHM),3.0,11.0,Fueiros,39.0
24,2024-05-08,030340,Plataforma 3500/5000/8000 (CBHM),PLAT. TANQUE. CAÇAM.,11,0,11,CBHM5000 CA SC RD MM M17,Plataforma,PLAT. TANQUE. CAÇAM.,030340,Plataforma 3500/5000/8000 (CBHM),11.0,0.0,11.0,030340,Plataforma 3500/5000/8000 (CBHM),3.0,11.0,Lateral,44.0
25,2024-05-08,030340,Plataforma 3500/5000/8000 (CBHM),PLAT. TANQUE. CAÇAM.,11,0,11,CBHM5000 CA SC RD MM M17,Plataforma,PLAT. TANQUE. CAÇAM.,030340,Plataforma 3500/5000/8000 (CBHM),11.0,0.0,11.0,030340,Plataforma 3500/5000/8000 (CBHM),3.0,11.0,Macaco,13.0
26,2024-05-08,030340,Plataforma 3500/5000/8000 (CBHM),PLAT. TANQUE. CAÇAM.,11,0,11,CBHM5000 CA SC RD MM M17,Plataforma,PLAT. TANQUE. CAÇAM.,030340,Plataforma 3500/5000/8000 (CBHM),11.0,0.0,11.0,030340,Plataforma 3500/5000/8000 (CBHM),3.0,11.0,Plataforma,11.0
27,2024-05-08,030340,Plataforma 3500/5000/8000 (CBHM),PLAT. TANQUE. CAÇAM.,11,0,11,CBHM5000 CA SC RD MM M17,Plataforma,PLAT. TANQUE. CAÇAM.,030340,Plataforma 3500/5000/8000 (CBHM),11.0,0.0,11.0,030340,Plataforma 3500/5000/8000 (CBHM),3.0,11.0,Traseira,7.0
28,2024-05-08,030383,Macaco Compl. CBHM 5000/FA,FUEIRO,13,0,13,CBHM6000 CA SS RD P750(I) M21,Macaco,FUEIRO,030383,Macaco Compl. CBHM 5000/FA,13.0,0.0,13.0,030383,Macaco Compl. CBHM 5000/FA,1.0,13.0,Chassi,1.0
29,2024-05-08,030383,Macaco Compl. CBHM 5000/FA,FUEIRO,13,0,13,CBHM6000 CA SS RD P750(I) M21,Macaco,FUEIRO,030383,Macaco Compl. CBHM 5000/FA,13.0,0.0,13.0,030383,Macaco Compl. CBHM 5000/FA,1.0,13.0,Dianteira ,21.0
30,2024-05-08,030383,Macaco Compl. CBHM 5000/FA,FUEIRO,13,0,13,CBHM6000 CA SS RD P750(I) M21,Macaco,FUEIRO,030383,Macaco Compl. CBHM 5000/FA,13.0,0.0,13.0,030383,Macaco Compl. CBHM 5000/FA,1.0,13.0,Eixo,8.0
31,2024-05-08,030383,Macaco Compl. CBHM 5000/FA,FUEIRO,13,0,13,CBHM6000 CA SS RD P750(I) M21,Macaco,FUEIRO,030383,Macaco Compl. CBHM 5000/FA,13.0,0.0,13.0,030383,Macaco Compl. CBHM 5000/FA,1.0,13.0,Fueiros,43.0
32,2024-05-08,030383,Macaco Compl. CBHM 5000/FA,FUEIRO,13,0,13,CBHM6000 CA SS RD P750(I) M21,Macaco,FUEIRO,030383,Macaco Compl. CBHM 5000/FA,13.0,0.0,13.0,030383,Macaco Compl. CBHM 5000/FA,1.0,13.0,Macaco,13.0
33,2024-05-08,030383,Macaco Compl. CBHM 5000/FA,FUEIRO,13,0,13,CBHM6000 CA SS RD P750(I) M21,Macaco,FUEIRO,030383,Macaco Compl. CBHM 5000/FA,13.0,0.0,13.0,030383,Macaco Compl. CBHM 5000/FA,1.0,13.0,Plataforma,2.0
